id,RarityScore,PunkType,FullType,AttributeCount,Hair,Eyes,FacialHair,NeckAccessory,MouthProp,Mouth,Blemishes,Ears,Nose,ETHPrice,USDPrice,TimeInDays,TimesSold,LastUSDPrice,LastETHPrice,TimePurchase,LastPercentChange,DaysBetweenPurchases
994,198.41,Female,Female-Albino,4,Knitted Cap,None,None,None,Vape,Black Lipstick,Spots,None,None,[11.0],[26690.0],[334.807],1.0,26690.00,11.00,334.81,NA,NA
995,99.97,Male,Male-Mid,4,Bandana,Horned Rim Glasses,Front Beard,Horned Rim Glasses,None,None,None,Earring,None,,,,,,,,,
996,97.99,Female,Female-Light,3,Cap,Purple Eye Shadow,None,Purple Eye Shadow,Cigarette,None,None,None,None,,,,,,,,,
997,108.98,Female,Female-Light,2,Straight Hair Dark,Horned Rim Glasses,None,Horned Rim Glasses,None,None,None,None,None,,,,,,,,,
998,222.94,Male,Male-Dark,4,Stringy Hair,Horned Rim Glasses,Normal Beard,Horned Rim Glasses,None,Buck Teeth,None,None,None,"[3.5, 1.55, 2.5, 0.79, 0.35]","[8490.0, 3760.0, 6070.0, 1920.0, 849.3]","[365.25, 365.25, 730.5, 730.5, 1461.0]",5.0,8490.00,3.50,365.25,125.73783568199947,0.0
999,108.48,Male,Male-Dark,3,Headband,None,Normal Beard,None,Pipe,None,None,None,None,,,,,,,,,
1000,174.95,Female,Female-Dark,3,Dark Hair,None,None,None,Cigarette,None,Rosy Cheeks,None,None,"[150.0, 44.9, 9.99, 0.75]","[364020.0, 108960.0, 24240.0, 1820.0]","[121.748, 152.185, 365.25, 1461.0]",4.0,364020.00,150.00,121.75,234.08283697836842,30.436999999999998
1001,101.75,Male,Male-Mid,3,Peak Spike,Nerd Glasses,Luxurious Beard,Nerd Glasses,None,None,None,None,None,"[175.0, 19.5, 19.0, 7.3]","[424690.0, 47320.0, 46110.0, 17730.0]","[121.748, 213.059, 243.496, 243.496]",4.0,424690.00,175.00,121.75,797.4662412036939,91.31099999999999
1002,82.84,Male,Male-Albino,1,Mohawk Dark,None,None,None,None,None,None,None,None,[19.95],[48410.0],[334.807],1.0,48410.00,19.95,334.81,NA,NA
1003,58.52,Male,Male-Light,2,Frumpy Hair,Nerd Glasses,None,Nerd Glasses,None,None,None,None,None,"[22.0, 22.0]","[53390.0, 53390.0]","[304.37, 304.37]",2.0,53390.00,22.00,304.37,-0.0018729748459478189,0.0
1004,62.22,Female,Female-Dark,2,Messy Hair,None,None,None,None,Black Lipstick,None,None,None,[142.0],[344610.0],[121.748],1.0,344610.00,142.00,121.75,NA,NA
1005,97.99,Male,Male-Light,2,Purple Hair,Regular Shades,None,Regular Shades,None,None,None,None,None,"[42.0, 30.0]","[101930.0, 72800.0]","[304.37, 304.37]",2.0,101930.00,42.00,304.37,40.01181302454636,0.0
1006,60.19,Male,Male-Dark,2,Wild Hair,Regular Shades,None,Regular Shades,None,None,None,None,None,"[25.75, 25.49, 22.0]","[62490.0, 61860.0, 53390.0]","[213.059, 273.933, 304.37]",3.0,62490.00,25.75,213.06,1.0167957194355086,60.873999999999995
1007,107.57,Male,Male-Light,3,Vampire Hair,Regular Shades,None,Regular Shades,None,None,None,Earring,None,"[72.5, 28.0]","[175940.0, 67950.0]","[30.437, 182.622]",2.0,175940.00,72.50,30.44,158.92187017115273,152.185
1008,96.34,Male,Male-Dark,3,Cap Forward,None,Luxurious Beard,None,None,None,None,Earring,None,,,,,,,,,
1009,82.87,Male,Male-Light,2,Cap,None,Luxurious Beard,None,None,None,None,None,None,"[140.0, 73.0, 65.0]","[339750.0, 177160.0, 157740.0]","[121.748, 152.185, 152.185]",3.0,339750.00,140.00,121.75,91.77471339628926,30.436999999999998
1010,150.06,Female,Female-Light,3,Pink With Hat,Classic Shades,None,Classic Shades,None,None,None,Earring,None,"[50.0, 18.0]","[121340.0, 43680.0]","[243.496, 334.807]",2.0,121340.00,50.00,243.50,177.78668070785926,91.311
1011,64.68,Female,Female-Albino,2,Stringy Hair,None,None,None,None,None,None,Earring,None,"[123.85, 23.85, 22.85, 13.5, 26.0, 23.5]","[300560.0, 57880.0, 55450.0, 32759.999999999996, 63100.0, 57030.0]","[121.748, 243.496, 273.933, 273.933, 304.37, 304.37]",6.0,300560.00,123.85,121.75,419.27230006392426,121.748
1012,62.79,Male,Male-Mid,2,Mohawk Thin,Eye Patch,None,Eye Patch,None,None,None,None,None,[0.29],[703.7],[1461.0],1.0,703.70,0.29,1461.00,NA,NA
1013,109.7,Male,Male-Albino,2,Fedora,Clown Eyes Green,None,Clown Eyes Green,None,None,None,None,None,"[149.0, 69.42, 29.49]","[361590.0, 168470.0, 71570.0]","[91.311, 152.185, 152.185]",3.0,361590.00,149.00,91.31,114.6304111686878,60.873999999999995
1014,94.18,Male,Male-Dark,2,Cap Forward,None,Luxurious Beard,None,None,None,None,None,None,"[100.0, 0.48]","[242680.0, 1160.0]","[152.185, 730.5]",2.0,242680.00,100.00,152.19,20802.67011197244,578.315
1015,110.42,Female,Female-Dark,2,Messy Hair,None,None,None,None,None,None,None,None,"[19.22, 35.98, 35.0]","[46640.0, 87320.0, 84940.0]","[243.496, 273.933, 273.933]",3.0,46640.00,19.22,243.50,-46.58787691391532,30.436999999999983
1016,225.55,Male,Male-Mid,4,Headband,Horned Rim Glasses,Normal Beard,Horned Rim Glasses,None,Buck Teeth,None,None,None,,,,,,,,,
1017,154.55,Male,Male-Dark,3,Top Hat,None,Goat,None,None,None,Mole,None,None,,,,,,,,,
1018,143.01,Male,Male-Light,2,Top Hat,None,Front Beard,None,None,None,None,None,None,,,,,,,,,
1019,95.78,Male,Male-Dark,3,Headband,Regular Shades,Chinstrap,Regular Shades,None,None,None,None,None,,,,,,,,,
1020,144.61,Male,Male-Albino,4,Stringy Hair,Eye Patch,None,Eye Patch,Cigarette,None,None,None,None,,,,,,,,,
1021,894.9,Ape,Ape,2,Cap,Eye Patch,None,Eye Patch,None,None,None,None,None,,,,,,,,,
1022,58.07,Male,Male-Mid,2,Mohawk Thin,None,None,None,None,None,Mole,None,None,,,,,,,,,
1023,63.27,Female,Female-Dark,2,Headband,None,None,None,None,Hot Lipstick,None,None,None,,,,,,,,,
1024,91.48,Female,Female-Dark,4,Wild Hair,Clown Eyes Blue,None,Clown Eyes Blue,None,Hot Lipstick,None,Earring,None,,,,,,,,,
1025,44.5,Male,Male-Mid,2,Bandana,None,None,None,None,None,None,Earring,None,,,,,,,,,
1026,91.31,Male,Male-Mid,3,Peak Spike,Clown Eyes Blue,None,Clown Eyes Blue,None,None,Mole,None,None,,,,,,,,,
1027,127.48,Male,Male-Dark,3,Hoodie,Eye Mask,Handlebars,Eye Mask,None,None,None,None,None,"[289.99, 15.0, 0.22]","[703750.0, 36400.0, 533.9]","[121.748, 334.807, 1461.0]",3.0,703750.00,289.99,121.75,1833.3260075272658,213.05900000000003
1028,59.78,Male,Male-Light,2,Mohawk Thin,Big Shades,None,Big Shades,None,None,None,None,None,,,,,,,,,
1029,111.37,Male,Male-Dark,2,None,Horned Rim Glasses,Mustache,Horned Rim Glasses,None,None,None,None,None,"[66.0, 77.0, 0.25]","[160170.0, 186860.0, 606.7]","[30.437, 60.874, 730.5]",3.0,160170.00,66.00,30.44,-14.283879461203783,30.437
1030,106.2,Male,Male-Mid,2,Fedora,None,Muttonchops,None,None,None,None,None,None,"[24.0, 22.98, 19.0, 9.49, 0.73, 0.5]","[58240.0, 55770.0, 46110.0, 23030.0, 1770.0, 1210.0]","[243.496, 243.496, 304.37, 334.807, 730.5, 730.5]",6.0,58240.00,24.00,243.50,4.427031970020261,0.0
1031,84.25,Male,Male-Mid,2,Cap Forward,Small Shades,None,Small Shades,None,None,None,None,None,,,,,,,,,
1032,107.77,Female,Female-Light,2,Straight Hair Dark,Nerd Glasses,None,Nerd Glasses,None,None,None,None,None,[17.0],[41260.0],[273.933],1.0,41260.00,17.00,273.93,NA,NA
1033,60.03,Female,Female-Light,2,Messy Hair,None,None,None,None,Hot Lipstick,None,None,None,,,,,,,,,
1034,115.76,Male,Male-Mid,4,Hoodie,Big Shades,Normal Beard Black,Big Shades,None,None,None,Earring,None,,,,,,,,,
1035,62.85,Female,Female-Dark,2,Wild Hair,None,None,None,None,Black Lipstick,None,None,None,[8.25],[20020.0],[334.807],1.0,20020.00,8.25,334.81,NA,NA
1036,61.01,Male,Male-Light,2,Mohawk Thin,Classic Shades,None,Classic Shades,None,None,None,None,None,"[1.0, 0.15]","[2430.0, 364.0]","[365.25, 1461.0]",2.0,2430.00,1.00,365.25,565.7534246575342,1095.75
1037,207.16,Female,Female-Mid,2,Orange Side,Blue Eye Shadow,None,Blue Eye Shadow,None,None,None,None,None,,,,,,,,,
1038,124.48,Female,Female-Light,3,Wild Blonde,Regular Shades,None,Regular Shades,None,Purple Lipstick,None,None,None,,,,,,,,,
1039,83.29,Female,Female-Dark,3,Messy Hair,Clown Eyes Blue,None,Clown Eyes Blue,None,Hot Lipstick,None,None,None,,,,,,,,,
1040,51.67,Female,Female-Dark,2,Mohawk Dark,None,None,None,None,None,None,Earring,None,,,,,,,,,
1041,151.46,Female,Female-Albino,4,Mohawk,Purple Eye Shadow,None,Purple Eye Shadow,Vape,Hot Lipstick,None,None,None,"[27.0, 22.9]","[65519.99999999999, 55570.0]","[273.933, 273.933]",2.0,65520.00,27.00,273.93,17.903222904032663,0.0
1042,110.67,Female,Female-Light,2,Half Shaved,Classic Shades,None,Classic Shades,None,None,None,None,None,[36.0],[87360.0],[273.933],1.0,87360.00,36.00,273.93,NA,NA
1043,111.0,Female,Female-Mid,3,Tassle Hat,Regular Shades,None,Regular Shades,None,Purple Lipstick,None,None,None,"[108.88, 89.0]","[264230.0, 215990.0]","[121.748, 152.185]",2.0,264230.00,108.88,121.75,22.333800945409763,30.436999999999998
1044,121.89,Male,Male-Light,2,None,VR,Normal Beard,VR,None,None,None,None,None,"[27.7, 7.9]","[67220.0, 19170.0]","[304.37, 334.807]",2.0,67220.00,27.70,304.37,250.6337697564029,30.437000000000012
1045,68.38,Male,Male-Albino,2,Shaved Head,None,None,None,None,None,None,Earring,None,[0.45],[1090.0],[730.5],1.0,1090.00,0.45,730.50,NA,NA
1046,109.68,Female,Female-Mid,3,Wild Blonde,None,None,None,None,Hot Lipstick,None,Earring,None,,,,,,,,,
1047,71.49,Male,Male-Light,1,Mohawk Dark,None,None,None,None,None,None,None,None,,,,,,,,,
1048,79.49,Male,Male-Mid,2,Stringy Hair,None,Front Beard Dark,None,None,None,None,None,None,,,,,,,,,
1049,85.79,Male,Male-Light,2,Crazy Hair,None,None,None,None,Smile,None,None,None,,,,,,,,,
1050,1312.89,Female,Female-Mid,0,None,None,None,None,None,None,None,None,None,[0.34],[812.9],[1461.0],1.0,812.90,0.34,1461.00,NA,NA
1051,108.32,Female,Female-Light,3,Tassle Hat,None,None,None,None,Hot Lipstick,Mole,None,None,,,,,,,,,
1052,62.48,Female,Female-Dark,3,Bandana,None,None,None,None,Purple Lipstick,None,Earring,None,"[0.44, 0.4]","[1070.0, 970.7]","[730.5, 730.5]",2.0,1070.00,0.44,730.50,10.11629103632808,0.0
1053,152.98,Male,Male-Albino,3,Cap Forward,Nerd Glasses,Big Beard,Nerd Glasses,None,None,None,None,None,,,,,,,,,
1054,77.07,Male,Male-Light,3,Stringy Hair,None,Goat,None,None,None,None,Earring,None,"[23.93, 23.0, 0.19, 0.14]","[58070.0, 55820.0, 461.0, 339.7]","[152.185, 152.185, 1461.0, 1461.0]",4.0,58070.00,23.93,152.19,4.028949678436431,0.0
1055,138.37,Female,Female-Albino,3,Wild Blonde,Horned Rim Glasses,None,Horned Rim Glasses,None,Hot Lipstick,None,None,None,,,,,,,,,
1056,90.88,Male,Male-Dark,2,Peak Spike,None,Handlebars,None,None,None,None,None,None,,,,,,,,,
1057,79.63,Male,Male-Mid,2,Messy Hair,None,Front Beard Dark,None,None,None,None,None,None,,,,,,,,,
1058,78.65,Male,Male-Light,2,Headband,None,Normal Beard Black,None,None,None,None,None,None,,,,,,,,,
1059,61.89,Male,Male-Mid,3,Frumpy Hair,Big Shades,None,Big Shades,None,None,None,Earring,None,,,,,,,,,
1060,122.96,Male,Male-Light,2,Cowboy Hat,Eye Mask,None,Eye Mask,None,None,None,None,None,"[0.99, 0.35]","[2400.0, 849.3]","[730.5, 1461.0]",2.0,2400.00,0.99,730.50,182.25332235681526,730.5
1061,60.07,Male,Male-Light,2,Messy Hair,Classic Shades,None,Classic Shades,None,None,None,None,None,[0.18],[435.0],[1461.0],1.0,435.00,0.18,1461.00,NA,NA
1062,71.21,Male,Male-Mid,3,Crazy Hair,None,Shadow Beard,None,Cigarette,None,None,None,None,"[76.0, 0.75]","[184440.0, 1820.0]","[30.437, 730.5]",2.0,184440.00,76.00,30.44,10028.500823723229,700.063
1063,71.86,Male,Male-Dark,2,Peak Spike,None,Shadow Beard,None,None,None,None,None,None,,,,,,,,,
1064,78.42,Male,Male-Light,2,Wild Hair,None,Front Beard,None,None,None,None,None,None,,,,,,,,,
1065,52.16,Female,Female-Light,2,Crazy Hair,None,None,None,None,None,None,Earring,None,,,,,,,,,
1066,67.92,Male,Male-Dark,2,Frumpy Hair,Small Shades,None,Small Shades,None,None,None,None,None,,,,,,,,,
1067,105.63,Male,Male-Albino,3,Mohawk,Horned Rim Glasses,Front Beard,Horned Rim Glasses,None,None,None,None,None,,,,,,,,,
1068,110.6,Male,Male-Mid,2,Mohawk,None,Big Beard,None,None,None,None,None,None,"[33.0, 33.0]","[80080.0, 80080.0]","[304.37, 304.37]",2.0,80080.00,33.00,304.37,-0.0012487356551491614,0.0
1069,76.67,Male,Male-Light,1,Cap,None,None,None,None,None,None,None,None,[0.12],[295.5],[1461.0],1.0,295.50,0.12,1461.00,NA,NA
1070,133.05,Female,Female-Mid,2,Pink With Hat,None,None,None,None,None,None,Earring,None,,,,,,,,,
1071,61.14,Female,Female-Dark,2,Stringy Hair,None,None,None,None,Purple Lipstick,None,None,None,"[33.97, 32.0, 0.3]","[82440.0, 77660.0, 728.0]","[152.185, 152.185, 730.5]",3.0,82440.00,33.97,152.19,6.1536678641789315,0.0
1072,107.47,Male,Male-Light,3,Stringy Hair,Eye Mask,Chinstrap,Eye Mask,None,None,None,None,None,"[22.99, 20.0, 22.0, 15.0, 0.44, 0.4]","[55790.0, 48540.0, 53390.0, 36400.0, 1070.0, 970.7]","[243.496, 273.933, 273.933, 334.807, 730.5, 730.5]",6.0,55790.00,22.99,243.50,14.93376733071012,30.436999999999983
1073,85.2,Female,Female-Mid,3,Mohawk Dark,Clown Eyes Blue,None,Clown Eyes Blue,None,Purple Lipstick,None,None,None,,,,,,,,,
1074,124.44,Male,Male-Light,2,Cowboy Hat,None,Normal Beard Black,None,None,None,None,None,None,[5.0],[12130.0],[365.25],1.0,12130.00,5.00,365.25,NA,NA
1075,106.92,Male,Male-Dark,4,Cap,Big Shades,Chinstrap,Big Shades,None,None,None,Earring,None,"[31.98, 29.99, 22.0, 0.19]","[77610.0, 72780.0, 53390.0, 461.0]","[273.933, 273.933, 304.37, 1461.0]",4.0,77610.00,31.98,273.93,6.634973413390857,0.0
1076,116.57,Female,Female-Mid,2,Half Shaved,Clown Eyes Blue,None,Clown Eyes Blue,None,None,None,None,None,,,,,,,,,
1077,77.45,Male,Male-Light,2,Mohawk Dark,None,Mustache,None,None,None,None,None,None,,,,,,,,,
1078,91.16,Male,Male-Mid,2,Hoodie,Eye Mask,None,Eye Mask,None,None,None,None,None,,,,,,,,,
1079,109.22,Male,Male-Dark,1,Purple Hair,None,None,None,None,None,None,None,None,,,,,,,,,
1080,76.94,Male,Male-Light,2,Hoodie,Classic Shades,None,Classic Shades,None,None,None,None,None,,,,,,,,,
1081,91.55,Female,Female-Light,3,Frumpy Hair,Blue Eye Shadow,None,Blue Eye Shadow,Cigarette,None,None,None,None,,,,,,,,,
1082,137.01,Female,Female-Albino,1,Wild Blonde,None,None,None,None,None,None,None,None,,,,,,,,,
1083,124.22,Female,Female-Mid,3,Straight Hair Blonde,VR,None,VR,None,None,None,Earring,None,"[0.18, 0.39]","[432.7, 946.4]","[1461.0, 1461.0]",2.0,432.70,0.18,1461.00,-54.327633523327,0.0
1084,69.24,Male,Male-Mid,2,Shaved Head,Nerd Glasses,None,Nerd Glasses,None,None,None,None,None,"[23.0, 3.0, 4.75]","[55820.0, 7280.0, 11530.0]","[304.37, 365.25, 365.25]",3.0,55820.00,23.00,304.37,666.6529322895207,60.879999999999995
1085,69.02,Male,Male-Light,3,Mohawk Dark,Big Shades,None,Big Shades,Cigarette,None,None,None,None,"[79.95, 97.0, 124.0]","[194020.0, 235400.0, 300920.0]","[29.0, 30.437, 60.874]",3.0,194020.00,79.95,29.00,-17.57893976661102,1.4370000000000012
1086,130.36,Female,Female-Dark,1,Blonde Short,None,None,None,None,None,None,None,None,[26.0],[63100.0],[334.807],1.0,63100.00,26.00,334.81,NA,NA
1087,77.4,Female,Female-Albino,2,Frumpy Hair,None,None,None,None,None,Mole,None,None,,,,,,,,,
1088,117.66,Male,Male-Dark,3,Shaved Head,Classic Shades,None,Classic Shades,None,None,None,None,Clown Nose,,,,,,,,,
1089,78.75,Male,Male-Light,2,Knitted Cap,None,Chinstrap,None,None,None,None,None,None,,,,,,,,,
1090,62.22,Female,Female-Dark,2,Mohawk Thin,None,None,None,None,Purple Lipstick,None,None,None,,,,,,,,,
1091,112.91,Male,Male-Dark,2,Vampire Hair,Clown Eyes Blue,None,Clown Eyes Blue,None,None,None,None,None,"[102.0, 95.0, 94.99]","[247530.0, 230550.0, 230520.0]","[91.311, 121.748, 121.748]",3.0,247530.00,102.00,91.31,7.364531058204042,30.436999999999998
1092,206.02,Female,Female-Albino,3,Blonde Short,None,None,None,Cigarette,None,Spots,None,None,"[90.0, 88.0, 27.5, 30.5, 12.0, 2.06, 0.23, 0.15]","[218410.0, 213560.0, 66740.0, 74020.0, 29120.0, 5000.0, 558.1, 364.0]","[30.437, 121.748, 304.37, 304.37, 334.807, 730.5, 1095.75, 1461.0]",8.0,218410.00,90.00,30.44,2.2705456520619403,91.311
1093,242.16,Male,Male-Mid,4,Peak Spike,Small Shades,Mustache,Small Shades,None,Buck Teeth,None,None,None,[1.0],[2430.0],[1095.75],1.0,2430.00,1.00,1095.75,NA,NA
1094,110.28,Male,Male-Light,3,Hoodie,Classic Shades,Chinstrap,Classic Shades,None,None,None,None,None,"[200.0, 51.0, 1.5]","[485360.0, 123770.0, 3640.0]","[152.185, 304.37, 730.5]",3.0,485360.00,200.00,152.19,292.14355543705716,152.185
1095,79.16,Male,Male-Light,3,Frumpy Hair,None,Luxurious Beard,None,None,None,None,Earring,None,"[100.0, 68.86, 60.0]","[242680.0, 167110.0, 145610.0]","[152.185, 152.185, 152.185]",3.0,242680.00,100.00,152.19,45.22084123726146,0.0
1096,63.44,Female,Female-Light,2,Mohawk Dark,None,None,None,None,Black Lipstick,None,None,None,"[6.5, 4.0]","[15770.0, 9710.0]","[334.807, 365.25]",2.0,15770.00,6.50,334.81,62.39316239316239,30.442999999999984
1097,72.36,Male,Male-Light,3,Frumpy Hair,Nerd Glasses,None,Nerd Glasses,None,None,Mole,None,None,[0.12],[291.2],[1461.0],1.0,291.20,0.12,1461.00,NA,NA
1098,44.92,Male,Male-Dark,2,Bandana,None,None,None,None,None,None,Earring,None,,,,,,,,,
1099,135.57,Male,Male-Dark,1,Top Hat,None,None,None,None,None,None,None,None,,,,,,,,,
1100,140.31,Male,Male-Light,3,Vampire Hair,Nerd Glasses,None,Nerd Glasses,None,Frown,None,None,None,"[24.5, 19.49, 15.95, 0.05]","[59460.0, 47300.0, 38710.0, 121.3]","[304.37, 334.807, 334.807, 1095.75]",4.0,59460.00,24.50,304.37,25.705587619712055,30.437000000000012
1101,93.53,Male,Male-Light,3,Messy Hair,Nerd Glasses,Handlebars,Nerd Glasses,None,None,None,None,None,,,,,,,,,
1102,180.24,Female,Female-Light,4,Straight Hair,Clown Eyes Blue,None,Clown Eyes Blue,None,Black Lipstick,None,None,Clown Nose,"[24.0, 30.0, 29.0, 0.39, 0.19, 0.1]","[58240.0, 72800.0, 70380.0, 946.4, 461.0, 242.6]","[213.059, 304.37, 304.37, 730.5, 1095.75, 1095.75]",6.0,58240.00,24.00,213.06,-20.00109888600431,91.311
1103,68.91,Male,Male-Mid,2,Peak Spike,Nerd Glasses,None,Nerd Glasses,None,None,None,None,None,,,,,,,,,
1104,76.86,Male,Male-Dark,3,Messy Hair,Eye Mask,None,Eye Mask,None,None,None,Earring,None,,,,,,,,,
1105,134.3,Male,Male-Light,3,Wild Hair,None,Luxurious Beard,None,None,None,None,None,None,[30.0],[72800.0],[273.933],1.0,72800.00,30.00,273.93,NA,NA
1106,96.43,Male,Male-Dark,3,Peak Spike,None,Luxurious Beard,None,Cigarette,None,None,None,None,,,,,,,,,
1107,76.68,Female,Female-Albino,2,Mohawk Dark,None,None,None,None,Hot Lipstick,None,None,None,,,,,,,,,
1108,93.42,Male,Male-Dark,2,Hoodie,None,Luxurious Beard,None,None,None,None,None,None,,,,,,,,,
1109,67.97,Male,Male-Dark,2,Mohawk Thin,Small Shades,None,Small Shades,None,None,None,None,None,[22.4],[54360.0],[243.496],1.0,54360.00,22.40,243.50,NA,NA
1110,103.94,Female,Female-Mid,4,Wild Hair,Purple Eye Shadow,None,Purple Eye Shadow,None,Purple Lipstick,None,Earring,None,"[118.0, 98.47, 100.0]","[286360.0, 238970.0, 242680.0]","[121.748, 121.748, 121.748]",3.0,286360.00,118.00,121.75,19.830439676780863,0.0
1111,133.91,Male,Male-Light,3,Peak Spike,None,Shadow Beard,None,None,None,None,None,None,[1.11],[2700.0],[365.25],1.0,2700.00,1.11,365.25,NA,NA
1112,69.53,Male,Male-Albino,2,Bandana,Regular Shades,None,Regular Shades,None,None,None,None,None,,,,,,,,,
1113,125.67,Male,Male-Albino,4,Knitted Cap,Eye Patch,Front Beard Dark,Eye Patch,Cigarette,None,None,None,None,[100.0],[242680.0],[60.874],1.0,242680.00,100.00,60.87,NA,NA
1114,115.5,Male,Male-Mid,2,Purple Hair,None,Chinstrap,None,None,None,None,None,None,,,,,,,,,
1115,111.61,Female,Female-Mid,2,Wild White Hair,None,None,None,None,Hot Lipstick,None,None,None,[7.0],[16990.0],[365.25],1.0,16990.00,7.00,365.25,NA,NA
1116,109.28,Male,Male-Dark,2,Cowboy Hat,None,Shadow Beard,None,None,None,None,None,None,"[105.0, 49.0, 0.15]","[254810.0, 118910.0, 364.0]","[152.185, 273.933, 1461.0]",3.0,254810.00,105.00,152.19,114.28631497506538,121.74799999999999
1117,76.68,Male,Male-Mid,3,Mohawk Thin,Horned Rim Glasses,Shadow Beard,Horned Rim Glasses,None,None,None,None,None,,,,,,,,,
1118,112.35,Male,Male-Albino,2,Cap Forward,None,None,None,None,Smile,None,None,None,"[69.0, 30.5, 30.5, 25.0]","[167450.0, 74020.0, 74020.0, 60670.0]","[152.185, 213.059, 213.059, 243.496]",4.0,167450.00,69.00,152.19,126.21958633360804,60.873999999999995
1119,310.57,Zombie,Zombie,3,Do-rag,Eye Patch,Shadow Beard,Eye Patch,None,None,None,None,None,"[400.04, 300.0, 200.0]","[970820.0, 728040.0, 485360.0]","[182.622, 334.807, 334.807]",3.0,970820.00,400.04,182.62,33.34688568363595,152.185
1120,60.66,Female,Female-Light,2,Wild Hair,None,None,None,None,Hot Lipstick,None,None,None,,,,,,,,,
1121,59.79,Male,Male-Mid,2,Mohawk Thin,Big Shades,None,Big Shades,None,None,None,None,None,,,,,,,,,
1122,68.19,Male,Male-Mid,2,Mohawk Dark,Small Shades,None,Small Shades,None,None,None,None,None,,,,,,,,,
1123,182.26,Female,Female-Mid,3,Straight Hair Blonde,3D Glasses,None,3D Glasses,Medical Mask,None,None,None,None,"[68.0, 60.0, 16.0]","[165020.0, 145610.0, 38830.0]","[182.622, 304.37, 334.807]",3.0,165020.00,68.00,182.62,13.329350117779562,121.74799999999999
1124,102.67,Male,Male-Mid,4,Mohawk Dark,Nerd Glasses,Handlebars,Nerd Glasses,None,None,None,Earring,None,,,,,,,,,
1125,58.32,Male,Male-Dark,2,Bandana,Big Shades,None,Big Shades,None,None,None,None,None,,,,,,,,,
1126,103.62,Male,Male-Mid,3,Messy Hair,VR,Chinstrap,VR,None,None,None,None,None,,,,,,,,,
1127,148.95,Male,Male-Dark,2,Purple Hair,None,Big Beard,None,None,None,None,None,None,"[10.0, 9.99, 15.0, 6.0, 0.8, 0.25]","[24270.0, 24240.0, 36400.0, 14560.0, 1940.0, 606.7]","[334.807, 365.25, 365.25, 365.25, 1095.75, 1461.0]",6.0,24270.00,10.00,334.81,0.11963202838166742,30.442999999999984
1128,61.05,Male,Male-Light,2,Frumpy Hair,None,Shadow Beard,None,None,None,None,None,None,,,,,,,,,
1129,152.05,Male,Male-Dark,3,Purple Hair,None,Front Beard,None,Vape,None,None,None,None,"[26.99, 26.49]","[65500.0, 64290.00000000001]","[243.496, 304.37]",2.0,65500.00,26.99,243.50,1.8805120467872527,60.873999999999995
1130,104.25,Female,Female-Dark,2,Dark Hair,Nerd Glasses,None,Nerd Glasses,None,None,None,None,None,,,,,,,,,
1131,69.53,Male,Male-Light,2,Cap Forward,None,None,None,Cigarette,None,None,None,None,,,,,,,,,
1132,59.91,Male,Male-Dark,2,Wild Hair,Big Shades,None,Big Shades,None,None,None,None,None,,,,,,,,,
1133,80.61,Male,Male-Light,2,Mohawk Thin,None,None,None,None,Frown,None,None,None,,,,,,,,,
1134,90.04,Male,Male-Light,3,Wild Hair,Nerd Glasses,Goat,Nerd Glasses,None,None,None,None,None,,,,,,,,,
1135,114.58,Male,Male-Light,3,Shaved Head,None,None,None,None,None,None,Earring,None,,,,,,,,,
1136,105.68,Male,Male-Light,4,Wild Hair,Small Shades,Muttonchops,Small Shades,None,None,None,Earring,None,,,,,,,,,
1137,63.89,Male,Male-Light,3,Mohawk Dark,None,Shadow Beard,None,None,None,None,Earring,None,,,,,,,,,
1138,70.55,Female,Female-Light,3,Messy Hair,Nerd Glasses,None,Nerd Glasses,Cigarette,None,None,None,None,,,,,,,,,
1139,139.58,Female,Female-Mid,4,Dark Hair,Eye Patch,None,Eye Patch,None,Hot Lipstick,Mole,None,None,"[60.99, 59.9, 99.88, 101.99, 97.0, 50.8, 50.0]","[148010.0, 145370.0, 242390.0, 247510.0, 235400.0, 123280.0, 121340.0]","[4.0, 8.0, 60.874, 60.874, 121.748, 152.185, 152.185]",7.0,148010.00,60.99,4.00,1.8153551946399213,4.0
1140,115.22,Female,Female-Dark,3,Wild White Hair,None,None,None,None,Purple Lipstick,None,Earring,None,,,,,,,,,
1141,50.47,Female,Female-Mid,2,Mohawk,None,None,None,None,None,None,Earring,None,,,,,,,,,
1142,96.1,Female,Female-Mid,2,Tassle Hat,None,None,None,None,Black Lipstick,None,None,None,"[115.0, 26.99]","[279080.0, 65500.0]","[121.748, 304.37]",2.0,279080.00,115.00,121.75,326.06983099494664,182.622
1143,79.1,Male,Male-Dark,2,Bandana,None,Front Beard Dark,None,None,None,None,None,None,[0.15],[364.0],[1461.0],1.0,364.00,0.15,1461.00,NA,NA
1144,85.44,Male,Male-Mid,2,Peak Spike,None,Muttonchops,None,None,None,None,None,None,[0.28],[679.5],[1461.0],1.0,679.50,0.28,1461.00,NA,NA
1145,52.62,Male,Male-Dark,2,Cap,None,None,None,None,None,None,Earring,None,,,,,,,,,
