id,RarityScore,PunkType,FullType,AttributeCount,Hair,Eyes,FacialHair,NeckAccessory,MouthProp,Mouth,Blemishes,Ears,Nose,ETHPrice,USDPrice,TimeInDays,TimesSold,LastUSDPrice,LastETHPrice,TimePurchase,LastPercentChange,DaysBetweenPurchases
8616,100.73,Male,Male-Mid,3,Cap,Nerd Glasses,Front Beard Dark,Nerd Glasses,None,None,None,None,None,[0.7],[1700.0],[730.5],1.0,1700.00,0.70,730.50,NA,NA
8617,225.78,Female,Female-Light,4,Orange Side,Big Shades,None,Big Shades,Pipe,None,None,Earring,None,"[145.0, 109.99, 80.0]","[351890.0, 266920.0, 194140.0]","[304.37, 304.37, 334.807]",3.0,351890.00,145.00,304.37,31.833014262647,0.0
8618,223.57,Male,Male-Light,5,Hoodie,Regular Shades,Muttonchops,Regular Shades,Medical Mask,None,None,Earring,None,,,,,,,,,
8619,76.97,Male,Male-Mid,3,Messy Hair,Classic Shades,Shadow Beard,Classic Shades,None,None,None,None,None,,,,,,,,,
8620,264.66,Male,Male-Light,2,Beanie,Regular Shades,None,Regular Shades,None,None,None,None,None,"[400.0, 165.0, 110.0, 80.0]","[970720.0, 400420.0, 266950.0, 194140.0]","[152.185, 304.37, 304.37, 334.807]",4.0,970720.00,400.00,152.19,142.42484784764036,152.185
8621,124.22,Female,Female-Dark,4,Straight Hair Dark,None,None,None,Cigarette,Black Lipstick,None,Earring,None,[22.49],[54580.0],[273.933],1.0,54580.00,22.49,273.93,NA,NA
8622,118.73,Male,Male-Mid,2,None,Regular Shades,None,Regular Shades,None,Smile,None,None,None,"[0.01, 19.99, 28.5]","[0.0, 48510.0, 69160.0]","[152.185, 273.933, 304.37]",3.0,0.00,0.01,152.19,-100.0,121.74799999999999
8623,123.54,Female,Female-Light,3,Straight Hair Dark,Regular Shades,None,Regular Shades,None,Black Lipstick,None,None,None,[24.49],[59430.0],[273.933],1.0,59430.00,24.49,273.93,NA,NA
8624,136.5,Male,Male-Light,3,Mohawk Thin,Regular Shades,None,Regular Shades,None,None,Rosy Cheeks,None,None,,,,,,,,,
8625,122.34,Male,Male-Light,2,Top Hat,None,None,None,None,None,Mole,None,None,,,,,,,,,
8626,90.04,Male,Male-Light,3,Peak Spike,None,Chinstrap,None,None,None,None,Earring,None,,,,,,,,,
8627,101.94,Male,Male-Mid,4,Do-rag,None,Muttonchops,None,Cigarette,None,None,Earring,None,,,,,,,,,
8628,83.97,Male,Male-Mid,2,Cap Forward,Clown Eyes Green,None,Clown Eyes Green,None,None,None,None,None,,,,,,,,,
8629,127.94,Female,Female-Dark,2,Tassle Hat,None,None,None,None,None,None,None,Clown Nose,,,,,,,,,
8630,221.36,Female,Female-Dark,2,Tiara,None,None,None,None,Purple Lipstick,None,None,None,"[0.25, 0.19]","[606.7, 461.0]","[1461.0, 1461.0]",2.0,606.70,0.25,1461.00,31.32034632034633,0.0
8631,140.9,Female,Female-Light,3,Straight Hair Dark,Purple Eye Shadow,None,Purple Eye Shadow,None,Hot Lipstick,None,None,None,[0.05],[121.3],[1461.0],1.0,121.30,0.05,1461.00,NA,NA
8632,85.9,Male,Male-Albino,3,Wild Hair,Classic Shades,None,Classic Shades,None,None,Mole,None,None,,,,,,,,,
8633,145.65,Male,Male-Albino,3,Cap Forward,Regular Shades,None,Regular Shades,None,None,None,None,None,,,,,,,,,
8634,132.36,Male,Male-Albino,3,Shaved Head,None,None,None,Pipe,Frown,None,None,None,"[22.99, 29.0, 25.5, 18.99, 16.0]","[55790.0, 70380.0, 61880.0, 46080.0, 38830.0]","[243.496, 243.496, 273.933, 304.37, 304.37]",5.0,55790.00,22.99,243.50,-20.73144740768105,0.0
8635,130.05,Female,Female-Mid,3,Red Mohawk,Clown Eyes Green,None,Clown Eyes Green,None,Purple Lipstick,None,None,None,"[30.0, 6.95, 6.25, 6.5, 0.25, 0.39]","[72800.0, 16870.0, 15170.0, 15770.0, 606.7, 946.4]","[334.807, 365.25, 365.25, 365.25, 1095.75, 1461.0]",6.0,72800.00,30.00,334.81,331.50969118605894,30.442999999999984
8636,129.15,Female,Female-Mid,3,Blonde Bob,Clown Eyes Green,None,Clown Eyes Green,None,Hot Lipstick,None,None,None,"[73.9, 65.0, 39.91, 29.0]","[179340.0, 157740.0, 96850.0, 70380.0]","[12.0, 30.437, 152.185, 273.933]",4.0,179340.00,73.90,12.00,13.692698791056227,18.437
8637,80.88,Male,Male-Dark,3,Headband,None,Normal Beard,None,None,None,None,Earring,None,"[89.69, 76.69, 94.02, 16.8]","[217660.0, 186110.0, 228170.0, 40770.0]","[60.874, 60.874, 121.748, 213.059]",4.0,217660.00,89.69,60.87,16.951711612962157,0.0
8638,227.84,Female,Female-Mid,3,Pink With Hat,Blue Eye Shadow,None,Blue Eye Shadow,None,None,None,None,None,,,,,,,,,
8639,116.55,Female,Female-Mid,1,None,Clown Eyes Green,None,Clown Eyes Green,None,None,None,None,None,"[180.0, 75.0, 39.0, 17.86, 12.5]","[436820.0, 182010.0, 94650.0, 43340.0, 30340.0]","[121.748, 152.185, 213.059, 365.244, 365.25]",5.0,436820.00,180.00,121.75,139.9964837290054,30.436999999999998
8640,105.13,Male,Male-Light,2,Vampire Hair,Horned Rim Glasses,None,Horned Rim Glasses,None,None,None,None,None,[0.05],[121.3],[1095.75],1.0,121.30,0.05,1095.75,NA,NA
