id,RarityScore,AttributeCount,Background,Fur,Skin,Head,Mouth,Teeth,Clothing,EyeWear,PriceSellSOL,TimeInDays,TimesSold,LastSOLPrice,TimePurchase,LastPriceSOL
60,1105,3,Green,Green , Peach,No Traits,Grilled Cheese,No Traits,Police Uniform,Aviator Glasses,['13.17'],[243.496],1.0,13.17,243.5,13.17
61,858,3,Yellow,Red , Peach,Baseball Cap,Drool,No Traits,No Traits,Shutter Shades,"['75.00', '15.33', '13.41', '12.93']","[30.437, 243.496, 243.496, 243.496]",4.0,75.00,30.44,75.0
62,872,2,Purple,Purple , Peach,Conical Hat,No Traits,No Traits,Turtleneck,No Traits,"['34.49', '23.95', '9.58', '8.22']","[243.496, 243.496, 243.496, 243.496]",4.0,34.49,243.5,34.49
63,1407,4,Blue,Albino , Blue,Viking's Helmet,Eggplant,No Traits,Striped T-Shirt,Ape Vipers,,,,,,
64,937,3,Green,Green , Green,Sailor's Hat,No Traits,No Traits,Denim Vest,Wayfarer Glasses,"['95.80', '16.76']","[243.496, 243.496]",2.0,95.80,243.5,95.8
65,1137,3,Black,Black , Gray,Explorer's Hat,Grilled Cheese,No Traits,Black T-Shirt,No Traits,,,,,,
66,940,3,Black,Black , Peach,Baseball Cap,Soda,No Traits,Dress,No Traits,"['65.99', '63.04', '67.06', '70.89', '46.85', '8.62']","[243.496, 243.496, 243.496, 243.496, 243.496, 243.496]",6.0,65.99,243.5,65.99
67,835,3,Yellow,Brown , Yellow,No Traits,Corndog,Wooden Tooth,Cheerleader,No Traits,"['64.00', '68.50', '8.62']","[213.059, 213.059, 243.496]",3.0,64.00,213.06,64.0
68,1580,3,Purple,Purple , Peach,Conical Hat,Ape-le Juice,No Traits,Ski Jacket,No Traits,"['131.91', '105.38', '35.45']","[243.496, 243.496, 243.496]",3.0,131.91,243.5,131.91
69,1635,4,Blue,Blue , Peach,Conical Hat,Pipe,No Traits,Suit,Shutter Shades,,,,,,
70,4465,2,Green,Green , Green,Crown,No Traits,No Traits,Hawaiin Shirt,No Traits,['431.10'],[243.496],1.0,431.10,243.5,431.1
71,1200,3,Red,Red , Peach,Mobster Hat,Donut,No Traits,Maid's Uniform,No Traits,"['306.56', '71.85']","[243.496, 243.496]",2.0,306.56,243.5,306.56
72,892,3,Purple,Purple , Peach,Snapback Cap,Sandwich,No Traits,Wetsuit,No Traits,,,,,,
73,1643,3,Yellow,Leopard,Leopard,Mobster Hat,Sushi,No Traits,Hawaiin Shirt,No Traits,"['69.69', '100.00']","[91.311, 182.622]",2.0,69.69,91.31,69.69
74,1891,2,Yellow,Leopard,Leopard,Captain's Hat,No Traits,No Traits,Ski Jacket,No Traits,['114.96'],[243.496],1.0,114.96,243.5,114.96
75,1813,4,Blue,Ice,Ice,Viking's Helmet,Burger,No Traits,Wetsuit,Ape Vipers,"['135.00', '70.89', '31.61']","[182.622, 243.496, 243.496]",3.0,135.00,182.62,135.0
76,1140,3,Blue,Albino , Blue,Conical Hat,Bubblegum,No Traits,Hoodie,No Traits,['57.38'],[243.496],1.0,57.38,243.5,57.38
77,1722,2,Green,Green , Green,No Traits,Cigar,No Traits,Jungle Explorer,No Traits,['47.90'],[243.496],1.0,47.90,243.5,47.9
78,1009,3,Purple,Purple , Peach,Musketeer's Hat,No Traits,No Traits,Bowling Shirt,Shutter Shades,"['55.00', '37.69', '68.00', '52.69']","[91.311, 121.748, 213.059, 243.496]",4.0,55.00,91.31,55.0
79,1393,3,Black,Black , Gray,Sergeant's Hat,Soda,No Traits,Denim Vest,No Traits,"['13.41', '17.24', '18.20']","[243.496, 243.496, 243.496]",3.0,13.41,243.5,13.41
80,1028,3,Red,Brown , Yellow,Sun Hat,Corndog,No Traits,Overalls,No Traits,"['84.30', '13.12']","[243.496, 243.496]",2.0,84.30,243.5,84.3
81,1996,3,Red,Purple , Peach,Beer Hat,No Traits,No Traits,Turtleneck,Aviator Glasses,['143.70'],[243.496],1.0,143.70,243.5,143.7
82,865,2,Yellow,Albino , Peach,Sun Hat,No Traits,No Traits,No Traits,Wayfarer Glasses,,,,,,
83,1304,3,Blue,Albino , Peach,Conical Hat,Hotdog,No Traits,Academy Uniform,No Traits,"['70.00', '71.85', '23.95']","[213.059, 243.496, 243.496]",3.0,70.00,213.06,70.0
